handle,type,packsize,cost,razorCost,url
0,pp,4,18.09,4.5225,https://www.healthpharm.co.uk/products/3688694?variant=22887513223
0,pp,42,189.96,4.522857142857143,https://www.ebay.co.uk/itm/193083269730
1,ps,4,18.22,4.555,https://www.amazon.co.uk/dp/B07BPQJ8XW
0,pp,8,36.5,4.5625,https://www.clearchemist.co.uk/gillette-blade-proglide-pwr.html
0,pp,8,37.08,4.635,https://www.ebay.co.uk/itm/392758835724
0,op,12,55.84,4.653333333333333,https://www.amazon.co.uk/dp/B00QPVRP6A
0,op,12,55.84,4.653333333333333,https://www.amazon.co.uk/dp/B00DYRBVZY
0,pp,4,18.66,4.665,https://www.carethy.co.uk/hygiene-and-health/gillette/p-438304
0,pp,28,132.51,4.7325,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-42
0,pp,4,19.03,4.7575,https://www.ebay.co.uk/itm/392758806852
0,op,1,4.89,4.89,https://www.ebay.co.uk/itm/143085216030
0,pp,4,19.79,4.9475,https://www.perfumespremium.co.uk/index.php/gillette-fusion-proglide-power-4-c-es-pt-ok
0,ps,6,29.71,4.951666666666667,https://www.amazon.co.uk/dp/B08PGBCGXR
0,pp,8,39.74,4.9675,https://www.ebay.co.uk/itm/402218742841
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B00HZRFSMQ
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B00Q2NN9SO
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B01DJ8VW7E
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B00AVVT2GQ
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B01BPASNM0
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B003KWVOD2
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B01DDM9CPK
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B0081Q49FC
0,op,4,19.96,4.99,https://www.amazon.co.uk/dp/B00RHPOTO4
0,pp,8,40.25,5.03125,https://www.amazon.co.uk/dp/B00UB7827A
0,pp,12,60.71,5.059166666666667,https://www.ebay.co.uk/itm/402218823909
0,pp,12,61.02,5.085,https://www.ebay.co.uk/itm/402218864689
0,pp,4,20.59,5.1475,https://www.ebay.co.uk/itm/232652205756
0,pp,3,15.48,5.16,https://www.amazon.co.uk/dp/B004YZMLEU
0,ps,4,20.66,5.165,https://www.amazon.co.uk/dp/B0791KVQFC
0,pp,4,21,5.25,https://www.luxplus.co.uk/product/gillette-fusion-proglide-power-razorblades-4-pcs
0,pp,4,21.15,5.2875,https://www.fruugo.co.uk/gillette-fusion-proglide-power-4-pack/p-46133038-92860453
