id,handle,type,quantity,cost,razorCost,url
,1,pp,1,11.36,,https://www.amazon.co.uk/dp/B00APFDF0C
,1,pp,8,91.25,,https://www.ebay.co.uk/itm/184227860111
,0,op,1,11.5,,https://www.amazon.co.uk/dp/B00GLAAES6
,0,op,1,11.9,,https://www.amazon.co.uk/dp/B00J2APFMW
,0,ps,1,11.99,,https://www.amazon.co.uk/dp/B017XAH0BQ
,0,op,1,12,,https://www.amazon.co.uk/dp/B005B8TSMW
,0,op,1,12,,https://www.amazon.co.uk/dp/B004AML800
,0,ps,1,12.08,,https://www.amazon.co.uk/dp/B01N7FK0NC
,0,pc,1,12.67,,https://www.amazon.co.uk/dp/B06XYKQNZK
,6,ps,6,76.18,,https://www.amazon.co.uk/dp/B076QJX5G9
,0,ps,2,25.48,,https://www.amazon.co.uk/dp/B06X9SLLS4
,1,pp,3,38.97,,https://www.chemist.co.uk/gillette-fusion-proglide-power-men-s-razor-with-flexball-technology.html
,1,pp,1,13.63,,https://www.amazon.co.uk/dp/B06X9M4579
,0,ps,1,13.95,,https://www.amazon.co.uk/dp/B0792S2Q79
,1,pp,1,13.99,,https://www.ebay.co.uk/itm/15325753123
,1,pp,1,14.05,,https://www.beautytheshop.com/uk/drugstore/men/gillette/gilette-fusion-proglide-power-manual-razor-with-flexball-technology
,1,pp,1,14.2,,https://www.mifarma.co.uk/maquinilla-afeitar-fusion-proglide-power-gillette-1ud
,1,pp,1,14.6,,https://www.beautiq.shop/gb/gillette/gilette-fusion-proglide-power-manual-razor-with-flexball-technology-7702018355488
,1,pp,2,29.8,,https://www.notino.co.uk/gillette/fusion-proglide-flexball-shaver/p-554689/
,1,pp,1,14.95,,https://www.amazon.co.uk/dp/B0151I9S62
,1,pp,1,15,,https://www.gillette.co.uk/12006451.html
,1,pp,1,15,,https://www.amazon.co.uk/dp/B0792Q1PXD
,1,pp,2,30,,https://www.shavers.co.uk/gillette-81694754-fusion-proglide-power-flexball-razor.html
,1,pp,3,45,,https://www.chemistdirect.co.uk/prd-0146915
,1,pp,1,15.97,,https://www.amazon.co.uk/dp/B008BGLQG2
,1,pp,1,15.99,,https://www.ebay.co.uk/itm/292990476942
,1,op,1,15.99,,https://www.amazon.co.uk/dp/B0144MC73M
,1,pp,1,16.74,,https://www.ebay.co.uk/itm/402218751223
,1,pp,1,16.74,,https://www.onbuy.com/gb/gillette-fusion-proglide-power-mens-razor-with-flexball-technology~c9761~p2693647/
,1,pp,1,17.5,,https://www.ebay.co.uk/itm/223885572157
,1,pp,1,17.8,,https://www.amazon.co.uk/dp/B07K35HNC1
,0,pc,1,17.83,,https://www.amazon.co.uk/dp/B01BNREXG0
,1,pp,1,17.88,,https://www.ebay.co.uk/itm/323988686021
,1,pp,1,17.89,,https://www.ebay.co.uk/itm/231784686755
,1,pp,1,17.99,,https://www.ebay.co.uk/itm/264600195989
,1,pp,1,17.99,,https://www.amazon.co.uk/dp/B06XYKMS23
,1,pp,1,18.24,,https://www.ebay.co.uk/itm/253428229517
,1,pp,1,18.29,,https://www.amazon.co.uk/dp/B072VMVHQ7
,0,op,1,18.53,,https://www.amazon.co.uk/dp/B00XDXGCDU
,1,pp,1,19.19,,https://www.perfumespremium.co.uk/gillette-maq-fus-pow-progl-flexball-ok
,1,pp,1,19.55,,https://www.amazon.co.uk/dp/B07WF9KYHG
,1,pp,1,19.95,,https://www.amazon.co.uk/dp/B0759PY46X
,1,pp,1,20.25,,https://www.amazon.co.uk/dp/B00TF87HP4
,1,pp,1,20.79,,https://www.biuky.co.uk/man/gillette/p-39840
,1,pp,1,21.83,,https://www.ebay.co.uk/itm/402218864643
,1,pp,1,23.2,,https://www.ebay.co.uk/itm/233551034438
,1,pp,1,23.58,,https://www.ebay.co.uk/itm/324010278388
,1,pp,1,24.22,,https://www.ebay.co.uk/itm/153927704315
,8,pp,8,209.37,,https://www.amazon.co.uk/dp/B01DC0ZO9G
,1,pp,2,55.08,,https://www.ebay.co.uk/itm/193326369320
,1,pp,1,27.98,,https://www.ebay.co.uk/itm/283884067977
,1,pp,1,28.87,,https://www.ebay.co.uk/itm/151755678470
,1,pp,1,33.48,,https://www.amazon.co.uk/dp/B005SPMINE
